questionId	title	tags	difficulty	date	viewsCount	signersCount	solutionsCount	answersCount	askerNickname	respondents	descriptionLength
324	Имеются ли нормальные переводы книги Thinking in Java?	java, книги	Оценить	2010-09-09 07:30:28	5543 	2	0	4	MishellR	['gremlin', 'becks', 'MishellR                                                          ', 'Artemzr']	214
325	Для чего ввели левый отступ 40px в комментариях?	habrahabr	Оценить	2010-09-09 09:28:23	2668 	3	1	5	goodsprite	['silentroach', 'durik', 'Artemzr', 'alprk', 'OpenMinded', 'ainu']	642
327	Какие посоветуете средства аудита изменений данных в MSSQL?	базы-данных, nhibernate, администрирование-баз-данных, microsoft-sql-server	Оценить	2010-09-09 11:18:33	3543 	4	1	2	Coper	['Flanker72', 'noRerih', 'fivec']	712
328	Когда вы занимаетесь самообразованием?	it-образование	Оценить	2010-09-09 11:21:16	3009 	3	0	9	rsi	['dAverk', 'xn__p2a', 'FAT', 'myem', 'andan', 'ainu', 'kpower', 'Lifz', 'Unknown007']	133
329	Кастомные выпадающие списки (select box) в Chrome и Opera	opera, css, google-chrome	Оценить	2010-09-09 11:33:56	7016 	7	1	4	elisium	['max_rip', 'chikuyonok', 'homm', 'Riateche', 'porcelanosa']	1219
332	Существуют ли инструменты для удобного контроля доступа к папкам и файлам в Windows?	ntfs, права-доступа	Оценить	2010-09-09 13:17:30	2832 	4	1	1	Antibug	['bondbig', 'amc']	453
333	Хочу заказать книгу &quot;Thinking in Java&quot; на amazon?	amazon	Оценить	2010-09-09 13:27:33	3172 	3	1	3	CyMpak	['Rayg', 'unsobill', 'kirilka', 'sevka_fedoroff']	909
334	Почему нельзя изменить свое мнение о %хабраюзере%?	habrahabr	Оценить	2010-09-09 13:36:06	2306 	2	1	1	Antibug	['DeadFine', 'charon']	355
336	Где найти &quot;стену позора&quot;?	фриланс	Оценить	2010-09-09 14:15:29	2338 	3	0	2	biduin	['char', 'AntonioK']	214
337	Пример Qt программы с использованием QStackedWidget?	qt, cpp	Оценить	2010-09-09 14:25:12	15829 	2	1	3	vitall	['Artemzr', 'Artemzr', 'Vass', 'silvansky']	299
338	Flowplayer и файлы с русскими именами?	flowplayer, кодировка-символов	Оценить	2010-09-09 15:15:21	2614 	2	0	0	negasus	[]	386
339	Что бы вы улучшили или изменили в интерфейсе Хабрахабра?	habrahabr, ui, html	Оценить	2010-09-09 15:19:36	2734 	4	0	49	dinamyte	['maxshopen', 'char', 'maxshopen', 'vadimbelyaev', 'xn__p2a', 'maxshopen', 'biduin', 'lashtal', 'Tomcat', 'CaptainFlint', 'maxshopen', 'yul', 'Arris', 'VasyaMobile', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'loshvitalik', 'almazmusic', 'Novikov', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'maxshopen', 'DeDuHaNcHiK', 'Botovod', 'kurokikaze', 'crea7or', 'Milfgard', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'xn__p2a', 'Akr0n', 'xn__p2a', 'xget', 'xget', 'AGvin', 'Riateche', 'netAn', 'ilyaProphet', 'Botovod', 'Kindman', 'lightman', 'Vollmond']	994
340	Программа просмотра изображений?	jpg	Оценить	2010-09-09 15:22:44	3193 	5	1	3	Serenevenkiy	['NeSvist', 'xn__p2a', 'gibson_dev', 'noRerih']	465
341	Как научить Google посылать юзера не на главную страницу блога, а на конкретный пост?	google, поисковые-системы	Оценить	2010-09-09 15:32:18	2454 	2	0	5	zencd	['mrkto', 'Riateche', 'Josijon', 'kashey', '0lympian']	544
342	Как сделать общедоступный счетчик состояния счета, например, Яндекс.Денег	платёжные-системы, финтех	Оценить	2010-09-09 16:37:12	2936 	2	0	2	Youri_M4U	['ArtemPugachev', 'Droy']	606
343	Прочитал, что MongoDB имеет ограничение в 4Мб на документ. Я не ошибся?	mongodb, документооборот	Оценить	2010-09-09 17:28:06	7207 	4	1	6	FuN_ViT	['xSkyFoXx', 'VolCh', 'Masterkey', 'TravisBickle', 'miolini', 'MagaSoft', 'vansickle']	194
344	Мультиязычный транслит на PHP?	php, транслитерация	Оценить	2010-09-09 18:08:03	8908 	4	0	6	xexsus	['dmiceman', 'LIAL', 'diggy', 'voroninman', 'Karsonito', 'ekho']	117
345	как оптимально  вести несколько жж и твиттер  и flikr аккаунтов?	flickr	Оценить	2010-09-09 18:16:13	2760 	4	0	6	linderox	['Milfgard', 'AmdY', 'artrudenko', 'Stalker_RED', 'Youri_M4U', 'Masterkey']	266
346	Бесплатная и простая среда для изучения Common LISP под Windows?	lisp, редактор-кода	Оценить	2010-09-09 18:40:35	10069 	2	0	4	Bright	['0lympian', 'Zubchick', 'kosmonaFFFt', 'plushechnik']	871
347	Мёртвые топики, не попавшие в песочницу?	habrahabr	Оценить	2010-09-09 18:47:32	2469 	2	0	4	vyacheslav84	['charon', 'bondbig', 'crossfire', 'Chvanikoff']	171
349	Как заставить Cogear использовать базы Sqlite?	php, sqlite	Оценить	2010-09-09 20:39:32	2499 	2	1	1	Ayahuaska	['CuamckuyKot', 'CuamckuyKot']	186
350	Как показать страницу с frameset, даже если пользователь открыл страницу индивидуального frame (составную часть frameset)?	веб-разработка	Оценить	2010-09-09 21:18:16	2385 	2	0	3	Majestic12	['usja', 'stampoon', 'barmaley_exe']	455
351	HD веб-камера?, какая?	видеонаблюдение	Оценить	2010-09-09 21:54:48	2963 	3	0	3	Zoriq	['gvsmirnov', 'gouranga', 'gouranga']	120
352	Как расшарить wifi с ноутбука для htc desire 2.2 без рута?	htc, wi-fi	Оценить	2010-09-09 21:57:13	4583 	2	0	6	3ds	['BombilCalabasov', 'belk', 'Vertex', 'barmaley_exe', 'kabachok', 'DaemonI']	214
353	Почему singleton круче global?	php, паттерны-проектирования	Оценить	2010-09-09 22:31:24	6973 	7	0	14	mcdb	['0lympian', 'OpenMinded', 'printf', 'AmdY', 'Artemzr', 'Chvanikoff', 'conf', 'NeOn4eG', 'fenrirgray', 'noRerih', 'mcdb                                                          ', 'Belikov', 'hamMElion', 'mr_avi']	274
354	Сервис проверки доступности хоста методом ping?	ping	Оценить	2010-09-09 22:35:13	4879 	3	0	7	kabachok	['schursin', 'Gluttton', 'schursin', 'Kavu', 'lless', 'voa', 'Pushe']	194
355	Чем отправить iPhone из США в Россию?	iphone, email, доставка	Оценить	2010-09-09 22:53:59	7505 	3	0	6	Terehoff	['Komonec', 'bio', 'Smerig', 'ebogdanov', 'etc', 'specialforyou']	217
356	Чем отправить iPhone из США в Россию?	iphone, email, доставка	Оценить	2010-09-09 22:54:00	20394 	4	1	2	Terehoff	['Lazer1999', 'andoriyu', 'bondbig']	217
358	Какие инструменты для автоматизации тестирования используете вы?	тестирование-по	Оценить	2010-09-10 00:38:35	2834 	6	0	7	dilanyanm	['ArtyV', 'bondbig', 'romka777', 'kmike', 'Avg00r', 'LLlAMuJIb', 'aoleynik']	108
360	Репликация Redis	nosql, redis, кластеры	Оценить	2010-09-10 03:11:10	6872 	3	0	1	lisr25	['Shumkov']	832
362	Клавиатура со встроенным трекпоинтом. Ищу	клавиатура	Оценить	2010-09-10 08:19:37	5692 	2	1	3	Lazin	['vkuznetsov', 'bondbig', 'LIAL', 'Madmutalisk']	231
363	Какая лучшая зарубежная платная CMS?	cms	Оценить	2010-09-10 09:33:34	3594 	3	0	4	masyk	['moldova', 'mezastel', 'digreen', 'vrom']	199
367	Cтатус ответа сервер (200, 404, ...) при синхронной загрузке страницы?	javascript	Оценить	2010-09-10 10:38:54	3182 	2	0	4	special	['romka777', 'hamMElion', 'MastaEx', 'Serator']	171
368	книга &quot;Пожар в долине&quot;	книги	Оценить	2010-09-10 10:51:42	3254 	3	0	2	andreevich	['dAverk', 'FromArcanum']	262
369	Git rebase отдельных разветвлений в далёком прошлом?	git	Оценить	2010-09-10 10:56:31	2852 	2	1	0	Sannis	['zimer']	507
370	Какой выбрать движок для форума?	cms	Оценить	2010-09-10 10:59:04	4287 	4	0	4	cephei	['dAverk', 'AusTiN', 'VolCh', 'cephei                                                          ']	297
371	Сетевые принтеры в Active Derictory	active-directory, печать	Оценить	2010-09-10 11:45:44	2702 	3	0	3	lhav	['amc', 'yandexx', 'max_rip']	358
372	Как встроить softsub в видеофайл в linux	linux, видео, субтитры	Оценить	2010-09-10 11:45:52	2658 	2	1	1	gigigi	['pavel_manylov', 'proDOOMman']	231
373	Подскажите, пожалуйста, хороший учебник или ресурс по схемотехнике	книги, железо, схемотехника	Оценить	2010-09-10 12:00:54	8609 	13	1	2	demitsuri	['stigmoto', 'dikud', 'nstorm']	653
374	NET. WebBrowser Control и StatusCode	.net	Оценить	2010-09-10 12:21:52	2833 	2	0	2	piterforman	['DKurilo', 'piterforman                                                          ']	373
375	Получение значения элемента &lt;version /&gt; из pom.xml в коде проекта	java, maven	Оценить	2010-09-10 12:31:43	2804 	2	0	1	krestjaninoff	['MikeMirzayanov']	127
377	Web-based трекер задач?	управление-проектами	Оценить	2010-09-10 12:44:42	6479 	11	0	5	andreycha	['LastDragon', 'LIAL', 'StopDesign', 'Gasoid', 'avantaj']	654
379	Как подключить оплату с сайта через Visa/Mastercard?	платежные-карты	Оценить	2010-09-10 13:20:30	43884 	26	0	12	multifinger	['rbkmoney', 'gibson_dev', 'mezastel', 'imobz', 'porohnya', 'ainu', 'multifinger                                                          ', 'timaitr9', 'kmike', 'leonidas', 'Kpblc', 'MaxKassa']	323
380	Есть ли в рунете аналог kickstarter или похожие проекты?	стартапы, финтех, краудфандинг	Оценить	2010-09-10 13:33:59	8598 	6	0	7	imobz	['SSoft', 'hostmast', 'SSoft', 'aleb', 'DarwinTenk', 'creativity101', 'afiskon']	55
381	С какого сайта можно брать цены на бензин для проекта?	api	Оценить	2010-09-10 14:25:23	2442 	2	1	1	Gasoid	['fessmage', 'randomizex']	43
382	Где можно найти удаленного прогера на 500$ в месяц?	веб-разработка	Оценить	2010-09-10 14:55:01	2498 	2	0	10	ostrovityanin	['mcdb', 'inkvizitor68sl', 'cencio', 'So1', 'liq', 'evilbloodydemon', 'VolCh', 'denlem', '3ds', 'charon']	39
383	На сколько будет вам интересно прочитать некоторые главы из книги Rework?	книги	Оценить	2010-09-10 15:19:48	2632 	2	0	1	stand_up	['xexsus']	581
384	Какую систему контроля за работой и багами выбрать?	веб-разработка, программное-обеспечение	Оценить	2010-09-10 15:53:13	2751 	10	1	6	xSkyFoXx	['LastDragon', 'schursin', 'cyberia', 'donnerjack13589', 'BaBL', 'dilanyanm', 'Riateche']	498
385	Как на хабре использовать ссылки вида apt?	linux, habrahabr	Оценить	2010-09-10 16:39:23	3173 	3	1	3	GamePad64	['mr_avi', 'NermaN', 'drakulavich', 'FeNUMe']	327
386	Чем сгенерировать WSDL из PHP-кода?	php, soap, wsdl	Оценить	2010-09-10 17:22:08	9489 	4	0	5	yetanotherape	['MARDEN', 'Nc_Soft', 'munkie', 'ebogdanov', 'EASemashko']	309
387	Как на IOS имитировать угол наклона инструмента?	ios	Оценить	2010-09-10 17:56:37	2443 	2	0	2	samlowry	['Constantine', 'Flanker_4']	510
388	Программа для построения блок-схем?	инфографика, блок-схема	Оценить	2010-09-10 18:27:59	18740 	14	0	8	sindrom	['Fragster', 'FTM', 'dals', 'Artemzr', 'mastd', 'zt50', 'crea7or', 'tashik']	194
390	Как грамотно разработать базу данных?	базы-данных, администрирование-баз-данных, программное-обеспечение	Оценить	2010-09-10 19:36:17	4226 	18	1	6	vitovt	['SSoft', 'exaide', 'netAn', 'yetanotherape', 'evgenyk', 'afiskon', 'vitovt                                                          ']	360
392	Создание папки (directory), защищенной паролем с помощью Java	java, windows	Оценить	2010-09-10 19:54:07	3066 	2	0	1	Karde	['exaide']	363
393	Отступ &lt;textarea&gt; в WebKit при Strict?	css, webkit	Оценить	2010-09-10 20:49:38	4746 	3	1	1	girichev	['bigdogsru', 'vepex']	792
394	Где найти дизайнера?	дизайн	Оценить	2010-09-10 21:15:56	3600 	2	0	2	sevmax	['FAT', 'mamaev']	97
395	Шрифты с засечками и без?	шрифты, обработка-текста	Оценить	2010-09-10 23:06:12	16208 	4	0	3	Blade	['printf', 'maashaa', 'rapida']	131
396	В контекстное меню проводника Windows 7 пункты плеера foobar2000 то появляются, то исчезают?	windows	Оценить	2010-09-10 23:41:02	4312 	2	0	2	zencd	['DeeZ', 'charon']	444
397	Instance у амазона продолжает учитываться если остановлен?	aws	Оценить	2010-09-11 00:38:12	2523 	2	1	1	CAJAX	['bio', 'CAJAX                                                          ']	104
398	Какой тип представления процесса вы считаете самым удобным для менеджмента проекта?	trac, управление-проектами, инфографика, блок-схема, jira	Оценить	2010-09-11 01:01:58	2886 	5	0	6	artfabrique	['Abyasov', 'kn0ckn0ck', 'TravisBickle', 'rbkmoney', 'BombilCalabasov', 'darqsat']	259
400	Как в Ubuntu UNR 10.10 отключить нетбучную оболочку?	ubuntu	Оценить	2010-09-11 11:38:12	2344 	2	0	1	zemel	['zemel                                                          ']	96
401	Проверка занятости домена	php, рынок-доменных-имен	Оценить	2010-09-11 11:59:11	8920 	5	0	7	netherneon	['schursin', 'Zazza', 'MaxMiller', 'bondbig', 'netherneon                                                          ', 'netnikogo', 'noys']	233
402	Вменяемое решение для загрузки картинок с TinyMCE+symfony 1.4?	symfony, tinymce	Оценить	2010-09-11 13:12:58	3930 	3	0	4	PycmaM	['Davert', 'yetanotherape', 'Stalker_RED', 'ksn135']	173
403	Как улучшить отображение шрифтов в evince?	debian, шрифты, djvu	Оценить	2010-09-11 13:16:08	2978 	2	1	2	liveor	['Habroche', 'Zazza', 'Zazza']	191
405	Где бы найти подработку имея неплохие знания Qt/C++?	qt, коворкинг	Оценить	2010-09-11 14:13:55	2426 	3	0	2	vitaly_KF	['Shugich', 'Gorthauer87']	343
407	Drag'n'drop для динамически созданных элементов (jQuery)?	javascript, jquery	Оценить	2010-09-11 14:48:13	10164 	4	0	2	ruskar	['Serator', '3ds']	604
409	Как отучить программера не отвлекаться во время работы?	организация-работы	Оценить	2010-09-11 15:06:09	3446 	3	0	9	Stryker3D	['puffofsmoke', 'So1', 'TravisBickle', 'evilbloodydemon', 'almazmusic', 'SSoft', 'mrkto', 'ainu', 'Vladson']	424
410	Два домена, один сайт?	рынок-доменных-имен	Оценить	2010-09-11 16:50:36	4432 	2	1	4	YasonBy	['printf', 'Mihalich88', 'netAn', 'Masterkey', 'mrkto']	437
411	Bitrix, шаблон комплексного компонента	1с-битрикс	Оценить	2010-09-11 17:28:19	27436 	4	1	0	bigdogsru	['bigdogsru                                                          ']	7280
412	Запасное колесо	компьютеры	Оценить	2010-09-11 18:27:40	3341 	30	1	19	Boomburum	['RAleks', '0lympian', 'Stamm', 'Alkop', 'Zazza', 'AntiGravitY', 'sanchower', 'fenrirgray', 'Boomburum                                                          ', 'inoname', 'oYASo', 'FAT', 'exel', 'DeadFine', 'Kpblc', 'serafims', 'CyMpak', 'KynuMHe6y6EH', 'turbo_exe', 'sielover']	1368
413	Вложенные формы, динамические элементы	jquery, html	Оценить	2010-09-11 18:28:23	3250 	3	0	2	RazoR_Empire	['max_rip', 'bigdogsru']	527
414	Инфраструктура под высокие нагрузки	mysql, highload	Оценить	2010-09-11 18:31:59	2855 	7	1	6	sach	['mgyk', 'TravisBickle', 'fenrirgray', 'oYASo', 'BaBL', 'netAn', 'Masterkey']	599
415	Как открыть локальный сайт в Windows XP Mode?	apache, windows, виртуальная-машина	Оценить	2010-09-11 20:34:34	3189 	2	0	3	Octane	['r0ster', 'ShadowMaster', 'Octane                                                          ']	142
416	Как читать мою ленту в твиттере посредством rss?	rss	Оценить	2010-09-11 20:51:21	2454 	3	0	1	lamo4ok	['mishunika']	399
417	Выбор первого чекбокса?	jquery	Оценить	2010-09-11 20:52:35	3210 	2	0	5	reimax	['mishunika', 'mishunika', 'mishunika', 'lashtal', 'Serator']	937
419	Отключение Microsoft-HTTPAPI/2.0	apache, сети, denwer	Оценить	2010-09-11 22:36:13	9245 	3	1	6	Yeah	['artemlight', 'Anonym', 'Anonym', 'FeNUMe', 'amc', 'justabaka', 'Yeah                                                          ']	1103
422	Плагин Comments от Facebook	facebook, веб-разработка	Оценить	2010-09-11 23:07:00	2519 	2	0	2	Smelov	['the_toster', 'dasty']	232
424	Html 5 &amp; NetBeans	html, netbeans	Оценить	2010-09-12 00:58:42	2687 	2	0	1	script88	['schursin']	98
425	Эквалайзер и отображение инфы о песнях в веб-проигрывателях с радио?	jw-player, интернет-радио	Оценить	2010-09-12 02:04:55	3721 	2	0	1	vguzev	['pingu']	847
